time,ax,ay,az,atotal
0.000,-0.54,0.09,0.36,0.66
0.010,-0.38,0.08,-0.30,0.49
0.020,-0.07,0.19,-0.87,0.89
0.030,0.04,0.21,-0.98,1.00
0.040,-0.03,-0.07,-0.89,0.90
0.050,0.02,-0.35,-0.68,0.77
0.060,0.07,-0.34,-0.39,0.52
0.070,0.17,-0.17,-0.14,0.28
0.080,0.41,-0.04,0.17,0.45
0.090,0.69,0.09,0.50,0.86
0.100,0.70,0.07,0.57,0.91
0.110,0.55,-0.05,0.41,0.69
0.120,0.38,-0.14,0.20,0.45
0.130,0.28,-0.15,-0.03,0.32
0.140,0.14,-0.14,-0.13,0.23
0.150,-0.06,-0.09,-0.02,0.11
0.160,-0.25,-0.09,0.20,0.33
0.171,-0.30,-0.14,0.41,0.53
0.180,-0.21,-0.20,0.58,0.65
0.191,-0.02,-0.28,0.66,0.72
0.201,0.19,-0.30,0.71,0.80
0.210,0.34,-0.24,0.67,0.79
0.220,0.45,-0.13,0.56,0.73
0.231,0.54,-0.12,0.39,0.68
0.241,0.58,-0.21,0.18,0.65
0.251,0.51,-0.27,-0.15,0.59
0.261,0.38,-0.23,-0.44,0.63
0.271,0.09,-0.04,-0.67,0.68
0.281,-0.37,0.24,-0.85,0.96
0.291,-0.85,0.47,-0.92,1.33
0.301,-1.05,0.54,-0.96,1.52
0.311,-0.94,0.46,-0.92,1.39
0.321,-0.75,0.30,-0.81,1.14
0.331,-0.54,0.08,-0.60,0.81
0.341,-0.28,-0.12,-0.18,0.35
0.351,-0.05,-0.17,0.09,0.20
0.361,0.09,-0.13,0.38,0.42
0.371,0.09,-0.17,0.79,0.82
0.381,-0.11,-0.22,0.93,0.96
0.391,-0.22,-0.19,0.91,0.95
0.401,-0.09,-0.13,0.70,0.72
0.411,0.14,-0.14,0.47,0.51
0.421,0.37,-0.18,0.25,0.48
0.431,0.56,-0.18,0.09,0.60
0.441,0.67,-0.12,-0.05,0.69
0.451,0.75,0.00,-0.07,0.75
0.461,0.69,0.11,-0.03,0.70
0.471,0.57,0.18,0.01,0.60
0.481,0.53,0.12,0.30,0.62
0.491,0.53,-0.01,0.67,0.86
0.501,0.58,-0.06,0.88,1.06
0.511,0.74,-0.03,0.95,1.20
0.521,0.98,0.09,1.32,1.65
0.531,1.22,-0.04,1.88,2.24
0.541,1.46,-0.20,2.23,2.67
0.551,1.65,-0.11,2.35,2.88
0.561,1.83,0.13,2.44,3.05
0.571,1.89,0.46,2.55,3.21
