time,ax,ay,az,atotal
1.503,-0.65,-3.26,9.88,10.42
1.513,-0.57,-3.19,8.49,9.08
1.523,-0.58,-3.10,7.19,7.85
1.533,-0.55,-2.99,5.99,6.72
1.543,-0.63,-2.88,4.97,5.78
1.553,-0.85,-2.91,3.94,4.97
1.563,-1.01,-2.95,2.87,4.24
1.573,-0.98,-3.02,2.06,3.79
1.583,-0.67,-3.17,1.37,3.52
1.593,-0.18,-3.24,0.74,3.33
1.603,0.45,-3.14,0.18,3.17
1.613,0.98,-3.06,-0.10,3.22
1.623,1.29,-3.01,-0.42,3.30
1.633,1.51,-2.76,-0.98,3.30
1.643,1.75,-2.44,-1.51,3.36
1.653,1.92,-2.19,-1.72,3.38
1.663,1.82,-2.13,-1.81,3.33
1.674,1.69,-2.10,-1.89,3.29
1.684,1.66,-1.85,-1.70,3.01
1.694,2.17,-0.66,-5.05,5.54
1.703,2.82,0.15,-5.87,6.52
1.714,3.30,-0.29,-4.70,5.74
1.723,3.74,-0.54,-4.95,6.22
1.734,3.84,-0.58,-5.94,7.10
1.743,3.52,-0.63,-6.80,7.68
1.754,2.31,-0.43,-8.69,9.01
1.764,0.93,-0.31,-9.83,9.88
1.774,0.47,-0.52,-9.59,9.61
1.784,0.75,-0.81,-9.03,9.10
1.794,0.85,-1.28,-8.55,8.69
1.804,1.06,-0.88,-11.71,11.79
1.814,1.22,-0.41,-13.03,13.09
1.824,1.17,-0.27,-11.57,11.63
1.834,0.96,0.13,-9.90,9.95
1.844,0.30,0.56,-10.08,10.10
1.854,-0.22,0.96,-11.58,11.62
1.864,-0.47,1.40,-12.98,13.06
1.874,-0.87,1.62,-13.45,13.58
1.884,-1.33,1.24,-12.50,12.63
1.894,-1.68,0.25,-11.51,11.64
1.904,-2.03,-1.58,-9.71,10.04
1.914,-2.18,-4.92,-4.07,6.75
1.924,-0.81,-8.05,0.95,8.15
1.934,0.15,-9.25,1.05,9.31
1.944,0.28,-6.37,-3.26,7.16
1.954,2.56,-1.54,-7.33,7.92
1.964,4.63,2.10,-8.34,9.77
1.974,6.42,0.98,-1.50,6.66
1.984,5.66,0.20,-1.40,5.84
1.994,0.82,-0.38,-4.63,4.72
2.004,-1.41,-1.16,-4.71,5.05
2.014,-0.69,-1.62,-3.09,3.56
2.024,-0.73,-1.43,-2.40,2.88
2.034,-0.79,-1.06,-2.06,2.45
2.044,-0.39,-0.89,-1.45,1.75
2.054,-0.31,-0.64,-1.25,1.44
2.064,-0.49,-0.29,-1.23,1.36
2.074,-0.89,0.16,-1.11,1.44
2.084,-1.03,0.33,-0.50,1.19
2.094,-0.71,0.13,-0.11,0.73
2.104,-0.46,0.03,-0.30,0.55
2.114,-0.61,0.02,-0.66,0.90
2.124,-0.83,-0.04,-0.64,1.04
2.134,-0.75,-0.06,-0.36,0.84
2.144,-0.37,0.06,-0.30,0.48
2.154,0.15,0.26,-0.29,0.41
2.164,0.54,0.44,-0.38,0.79
2.174,0.56,0.25,-0.21,0.64
2.184,0.36,-0.24,-0.01,0.44
2.194,0.15,-0.65,0.19,0.69
2.204,0.01,-0.86,0.39,0.95
2.215,0.09,-0.59,0.54,0.80
2.225,0.26,0.09,0.62,0.68
2.235,0.21,0.56,0.67,0.89
